,Date,Close,Volume,Adj Close,^DJI_Close,^IXIC_Close,^GSPC_Close,^RLG_Close,^NYA_Close,^VIX_Close,DX-Y.NYB_Close,EURUSD=X_Close,GBPUSD=X_Close,GC=F_Close,SI=F_Close,CL=F_Close,WM1NS,WM2NS,ICSA,CCSA,JTSJOL,PAYEMS,RSXFS,TCU,UMCSENT,BUSINV,INDPRO,GACDFSA066MSFRBPHI,GACDISA066MSFRBNY,BACTSAMFRBDAL,IR,IQ,PPIACO,CPIAUCSL,CPILFESL,MICH,CSCICP03USM665S,Grow,News_Score
20,2015-02-02,29.65749931335449,250956400,26.65534210205078,17361.0390625,4676.68994140625,2020.8499755859373,955.8699951171876,10669.0302734375,19.43000030517578,94.5,1.1309019327163696,1.5087052583694458,1276.199951171875,17.235000610351562,49.56999969482422,3093.4,11778.6,281000.0,2297000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5115479906702509
21,2015-02-03,29.662500381469727,207662800,26.659839630126957,17666.400390625,4727.740234375,2050.030029296875,968.1300048828124,10847.41015625,17.329999923706055,93.5999984741211,1.1341726779937744,1.50281023979187,1259.699951171875,17.30500030517578,53.04999923706055,3093.4,11778.6,281000.0,2297000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5
22,2015-02-04,29.88999938964844,280598800,26.86431121826172,17673.01953125,4716.7001953125,2041.510009765625,965.52001953125,10775.0400390625,18.32999992370605,93.98999786376952,1.145737886428833,1.5142109394073486,1263.800048828125,17.378999710083008,48.45000076293945,3093.4,11778.6,281000.0,2297000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5788758832091947
23,2015-02-05,29.98500061035156,168984800,27.056049346923828,17884.880859375,4765.10009765625,2062.52001953125,975.1799926757812,10896.0595703125,16.850000381469727,94.6999969482422,1.131874680519104,1.5180034637451172,1262.0,17.18000030517578,50.47999954223633,3093.4,11778.6,281000.0,2297000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5
24,2015-02-06,29.732500076293945,174826400,26.82821273803711,17824.2890625,4744.39990234375,2055.469970703125,971.6500244140624,10847.509765625,17.290000915527344,94.6999969482422,1.147196888923645,1.5325905084609983,1233.9000244140625,16.67799949645996,51.68999862670898,3093.4,11778.6,281000.0,2297000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,False,0.5
25,2015-02-09,29.93000030517578,155559200,27.006427764892575,17729.2109375,4726.009765625,2046.739990234375,967.2100219726562,10826.58984375,18.549999237060547,94.4499969482422,1.1314393281936646,1.523902416229248,1240.800048828125,17.054000854492188,52.86000061035156,2898.3,11811.8,298000.0,2344000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5246453716433308
26,2015-02-10,30.5049991607666,248034000,27.52525520324707,17868.759765625,4787.64013671875,2068.590087890625,978.989990234375,10915.1396484375,17.229999542236328,94.76000213623048,1.1326953172683716,1.5216069221496582,1231.5999755859375,16.85700035095215,50.02000045776367,2898.3,11811.8,298000.0,2344000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.6873096551431668
27,2015-02-11,31.21999931335449,294247200,28.170413970947266,17862.140625,4801.18017578125,2068.530029296875,981.3099975585938,10889.0498046875,16.959999084472656,94.98999786376952,1.1321951150894165,1.526205062866211,1219.0,16.7450008392334,48.84000015258789,2898.3,11811.8,298000.0,2344000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.8645597209795348
28,2015-02-12,31.614999771118164,297898000,28.52683448791504,17972.380859375,4857.60986328125,2088.47998046875,990.1300048828124,10995.3095703125,15.34000015258789,94.08999633789062,1.131196141242981,1.5242739915847778,1220.0999755859375,16.777999877929688,51.209999084472656,2898.3,11811.8,298000.0,2344000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5
29,2015-02-13,31.770000457763672,217088800,28.666690826416016,18019.349609375,4893.83984375,2096.989990234375,995.9000244140624,11042.6904296875,14.6899995803833,94.1999969482422,1.140393853187561,1.5391956567764282,1226.5,17.277999877929688,52.77999877929688,2898.3,11811.8,298000.0,2344000.0,5466.0,140829.0,385104.0,78.1088,95.4,1796198.0,102.1554,10.3,10.6,-13.2,125.5,125.9,191.1,235.342,240.172,2.8,101.145431475701,True,0.5045880563486951
